name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
LumpiniVille Prachachuen-Phongphet2,Kirawut,Vadhana,13.7214,100.58484,Private room,1758,1,1,365
quiet relaxing country life in BKK,Nitchakun,Saphan Sung,13.76276,100.69127,Entire home/apt,1000,1,1,365
1Br 5mins walk to Airport Link Hua Mak sky train,GrongGaew,Suanluang,13.73786,100.64065,Entire home/apt,1351,30,4,89
3BR 300 SqM Apt near BTS PhromPhong,Sanjay,Khlong Toei,13.72468,100.56838,Private room,3000,1,1,365
"Large 2 bedrooms apartment, Silom",Nisith,Bang Rak,13.72004,100.5186,Entire home/apt,5500,2,1,338
"Downtown,just 100m. To Siam,MBK,BTS",Hataipat,Ratchathewi,13.75156,100.52988,Entire home/apt,1336,5,5,0
iSanook Eco Studio 6,ISanook Hotel,Bang Rak,13.7319,100.52255,Private room,1800,30,45,320
iSanook Studio 32 sqm 5,ISanook Hotel,Bang Rak,13.732,100.52294,Private room,2100,30,45,357
iSanook Family Suite Deluxe 67 sqm 3,ISanook Hotel,Bang Rak,13.7332,100.52094,Private room,3900,30,45,330
City view Studio surrounding by street food,Nicky,Bang Kho laen,13.69945,100.52725,Entire home/apt,950,2,6,86
Yoong Thong Double Standard Room,Tienchai,Min Buri,13.78318,100.74785,Private room,1620,30,2,365
Rachapruk Twin Standard Room,Tienchai,Min Buri,13.78115,100.7482,Private room,1620,1,2,365
